"srch_id","date_time","site_id","visitor_location_country_id","visitor_hist_starrating","visitor_hist_adr_usd","prop_country_id","prop_id","prop_starrating","prop_review_score","prop_brand_bool","prop_location_score1","prop_location_score2","prop_log_historical_price","position","price_usd","promotion_flag","srch_destination_id","srch_length_of_stay","srch_booking_window","srch_adults_count","srch_children_count","srch_room_count","srch_saturday_night_bool","srch_query_affinity_score","orig_destination_distance","random_bool","comp1_rate","comp1_inv","comp1_rate_percent_diff","comp2_rate","comp2_inv","comp2_rate_percent_diff","comp3_rate","comp3_inv","comp3_rate_percent_diff","comp4_rate","comp4_inv","comp4_rate_percent_diff","comp5_rate","comp5_inv","comp5_rate_percent_diff","comp6_rate","comp6_inv","comp6_rate_percent_diff","comp7_rate","comp7_inv","comp7_rate_percent_diff","comp8_rate","comp8_inv","comp8_rate_percent_diff","click_bool","gross_bookings_usd","booking_bool"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","893","3","3.5","1","2.83","0.0438","4.95","27","104.77","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","0","0","NULL","0","0","NULL","NULL","NULL","NULL","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","NULL","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","10404","4","4.0","1","2.2","0.0149","5.03","26","170.74","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0","0","NULL","NULL","NULL","NULL","0","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","NULL","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","21315","3","4.5","1","2.2","0.0245","4.92","21","179.8","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","0","0","NULL","0","0","NULL","NULL","NULL","NULL","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","NULL","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","27348","2","4.0","1","2.83","0.0125","4.39","34","602.77","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","-1","0","5","-1","0","5","NULL","NULL","NULL","0","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","-1","0","5","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","29604","4","3.5","1","2.64","0.1241","4.93","4","143.58","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","0","0","NULL","0","0","NULL","NULL","NULL","NULL","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","NULL","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","30184","4","4.5","1","2.77","0.1302","5.2","7","195.32","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0","0","7","NULL","NULL","NULL","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","7","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","44147","3","3.5","1","2.2","0.0356","4.81","18","129.35","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","0","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","NULL","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","50984","2","0.0","0","1.61","NULL","4.14","35","85.37","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","53341","4","4.0","1","2.56","0.1238","5.18","3","150.05","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","0","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","6","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","56880","4","4.0","1","2.83","0.1028","5.15","10","280.69","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","0","0","NULL","0","0","NULL","NULL","NULL","NULL","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","NULL","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","59267","3","0.0","1","2.2","NULL","5.08","20","190.14","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","1","0","11","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","NULL","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","59526","3","3.5","0","2.2","0.0377","4.78","19","100.89","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","0","0","NULL","-1","0","5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","0","31","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","68914","2","3.0","1","2.2","0.0206","4.44","13","100.89","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","0","0","11","0","0","NULL","NULL","NULL","NULL","0","-1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","11","1","114.29","1"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","74474","3","4.5","1","2.4","0.1255","5.03","2","210.84","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","0","0","NULL","0","0","NULL","NULL","NULL","NULL","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","NULL","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","81437","3","4.0","1","2.3","0.0155","5.03","15","138.4","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","0","0","NULL","0","0","NULL","NULL","NULL","NULL","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","NULL","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","85728","2","3.0","1","1.79","0.0072","4.5","31","100.89","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","0","0","NULL","0","0","8","NULL","NULL","NULL","1","-1","14","NULL","NULL","NULL","NULL","NULL","NULL","0","0","NULL","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","88096","4","4.0","1","2.94","0.066","5.18","23","152.63","1","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","0","0","5","0","0","5","NULL","NULL","NULL","1","0","5","NULL","NULL","NULL","NULL","NULL","NULL","0","0","15","0","NULL","0"
"1","2013-04-04 08:32:15","12","187","NULL","NULL","219","88127","3","3.0","1","1.39","0.0038","4.8","36","138.4","0","23246","1","0","4","0","1","1","NULL","NULL","1","NULL","NULL","NULL","0","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","0","NULL","0","NULL","0"
